geography,date,total
Canada,2013-10-01T00:00:00Z,93.8
Canada,2014-10-01T00:00:00Z,95.4
Canada,2015-10-01T00:00:00Z,96.8
Canada,2016-10-01T00:00:00Z,99.7
Canada,2007-09-01T00:00:00Z,86.5
Canada,2008-09-01T00:00:00Z,88.3
Canada,2009-09-01T00:00:00Z,85.9
Canada,2010-09-01T00:00:00Z,88.1
Canada,2011-09-01T00:00:00Z,90.1
Canada,2012-09-01T00:00:00Z,92.3
Canada,2013-09-01T00:00:00Z,93.8
Canada,2014-09-01T00:00:00Z,95.3
Canada,2015-09-01T00:00:00Z,96.6
Canada,2016-09-01T00:00:00Z,99.3
Canada,2017-09-01T00:00:00Z,103.1
"Kelowna, British Columbia [59915]",2008-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-04-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-04-01T00:00:00Z,100.1
"Kelowna, British Columbia [59915]",2008-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-08-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-08-01T00:00:00Z,102.5
"Kelowna, British Columbia [59915]",2007-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2008-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-12-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-12-01T00:00:00Z,100
"Kelowna, British Columbia [59915]",2008-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-02-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-02-01T00:00:00Z,100.1
"Kelowna, British Columbia [59915]",2008-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-01-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-01-01T00:00:00Z,100
"Kelowna, British Columbia [59915]",2008-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-07-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-07-01T00:00:00Z,101.6
"Kelowna, British Columbia [59915]",2008-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2014-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2015-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2016-06-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2017-06-01T00:00:00Z,100.7
"Kelowna, British Columbia [59915]",2008-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2009-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2010-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2011-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2012-03-01T00:00:00Z,NA
"Kelowna, British Columbia [59915]",2013-03-01T00:00:00Z,NA
